cycle_id,r04_grab_count,r03_nose_peak,r03_nose_fwhm,r03_nose_impulse,label
5_36,7,1400.0,1.5,61.75,"NoNose,NoBody2"
5_37,7,1397.0,2.0,70.2,"NoNose,NoBody2"
5_38,7,1392.0,0.7,56.1,"NoNose,NoBody2"
5_39,7,1388.0,1.6,50.3,"NoNose,NoBody2"
5_4,5,1394.0,0.7,54.3,NoNose
5_40,4,1394.0,0.3,70.4,"NoNose,NoBody2"
5_41,7,1391.0,1.7,51.4,"NoNose,NoBody2"
5_42,7,1398.0,1.3,68.1,"NoNose,NoBody2"
5_43,7,1395.0,2.3,66.3,"NoNose,NoBody2"
5_44,7,1393.0,1.7,63.1,"NoNose,NoBody2"
5_45,7,1395.0,0.7,58.6,"NoNose,NoBody2"
5_46,7,1392.0,1.3,53.7,"NoNose,NoBody2"
5_47,7,1397.0,0.6,54.9,"NoNose,NoBody2"
5_48,7,1399.0,0.8,57.3,"NoNose,NoBody2"
5_49,7,1394.0,1.0,55.6,"NoNose,NoBody2"
5_5,5,8579.0,6.7,35741.03785232383,NoNose
5_50,7,1394.0,0.4,56.3,"NoNose,NoBody2"
5_51,7,1386.0,1.9,61.6,"NoNose,NoBody2"
5_52,7,1387.0,0.6,46.85,"NoNose,NoBody2"
5_53,5,1399.0,1.4,53.3,"NoNose,NoBody2"
5_54,7,1391.0,0.9,52.0,"NoNose,NoBody2"
5_55,7,1397.0,1.2,53.9,"NoNose,NoBody2"
5_56,7,1396.0,2.1,61.3,"NoNose,NoBody2"
5_57,7,1391.0,2.1,62.9,"NoNose,NoBody2"
5_58,7,1389.0,1.0,62.2,"NoNose,NoBody2"
5_59,7,1400.0,1.2,60.1,"NoNose,NoBody2"
5_6,5,1394.0,1.8,76.0,NoNose
5_60,7,1391.0,1.5,68.5,"NoNose,NoBody2"
5_61,9,1397.0,1.4,51.6,"NoNose,NoBody2,NoBody1"
5_62,9,1394.0,0.4,67.8,"NoNose,NoBody2,NoBody1"
